TOWN,COUNTY,income_pc,median_household_income,population
NEW MARLBOROUGH,BERKSHIRE,45768,73571,1573
NEW SALEM,FRANKLIN,36675,71221,1072
NEWBURY,ESSEX,71508,152356,6745
NEWBURYPORT,ESSEX,61696,153971,18282
NEWTON,MIDDLESEX,81020,164607,88647
NORFOLK,NORFOLK,52240,168281,11531
NORTH ADAMS,BERKSHIRE,31428,48575,13024
NORTH ANDOVER,ESSEX,71327,94375,31468
NORTH ATTLEBOROUGH,BRISTOL,47877,97967,30557
NORTH BROOKFIELD,WORCESTER,38700,77313,4757
NORTH READING,MIDDLESEX,61653,124196,15549
NORTHAMPTON,HAMPSHIRE,41663,72687,29379
NORTHBOROUGH,WORCESTER,62946,129780,15863
NORTHBRIDGE,WORCESTER,43333,97206,16291
NORTHFIELD,FRANKLIN,41106,83750,2899
NORTON,BRISTOL,45590,109375,19270
NORWELL,PLYMOUTH,68728,136875,11258
NORWOOD,NORFOLK,54645,96414,31256
OAK BLUFFS,DUKES,51258,94545,5284
OAKHAM,WORCESTER,39893,85078,1621
ORANGE,FRANKLIN,28966,53448,7622
ORLEANS,BARNSTABLE,63651,79250,6276
OTIS,BERKSHIRE,49186,93316,1460
OXFORD,WORCESTER,45471,72124,13399
PALMER,HAMPDEN,35844,70090,12434
PAXTON,WORCESTER,49419,123958,5005
PEABODY,ESSEX,36180,55938,54200
PELHAM,HAMPSHIRE,49128,97917,1280
PEMBROKE,PLYMOUTH,53499,130015,18329
PEPPERELL,MIDDLESEX,48499,112043,11671
PERU,BERKSHIRE,40332,74464,744
PETERSHAM,WORCESTER,40275,77500,1141
PHILLIPSTON,WORCESTER,36890,88289,1948
PITTSFIELD,BERKSHIRE,37356,59522,43890
PLAINFIELD,HAMPSHIRE,41148,70750,676
PLAINVILLE,NORFOLK,51092,96932,9760
PLYMOUTH,PLYMOUTH,57027,82470,60987
PLYMPTON,PLYMOUTH,47235,118098,2934
PRINCETON,WORCESTER,63289,148438,3502
PROVINCETOWN,BARNSTABLE,50384,79432,3582
QUINCY,NORFOLK,44919,82500,100544
RANDOLPH,NORFOLK,39488,87869,34661
RAYNHAM,BRISTOL,46231,96830,14957
READING,MIDDLESEX,68526,101487,25483
REHOBOTH,BRISTOL,45110,115156,12434
REVERE,SUFFOLK,33749,73041,60720
RICHMOND,BERKSHIRE,46695,90208,30671
ROCHESTER,PLYMOUTH,51107,110736,5676
ROCKLAND,PLYMOUTH,38962,90315,17774
ROCKPORT,ESSEX,63306,118814,7014
ROWE,FRANKLIN,32844,70179,434
ROWLEY,ESSEX,46676,79641,6234
ROYALSTON,WORCESTER,36955,89417,1461
RUSSELL,HAMPDEN,38273,89464,1385
RUTLAND,WORCESTER,46331,132000,8988
SALEM,ESSEX,58437,108896,44819
SALISBURY,ESSEX,49861,92048,9152
SANDISFIELD,BERKSHIRE,38200,80179,901
SANDWICH,BARNSTABLE,56895,124354,20369
SAUGUS,ESSEX,43997,93737,28521
SAVOY,BERKSHIRE,31726,51250,708
SCITUATE,PLYMOUTH,70543,72904,19016
SEEKONK,BRISTOL,48651,100041,15339
SHARON,NORFOLK,71247,157928,18477
SHEFFIELD,BERKSHIRE,59482,71818,3318
SHELBURNE,FRANKLIN,47442,72236,1436
SHERBORN,MIDDLESEX,96081,218906,4406
SHIRLEY,MIDDLESEX,40933,111875,7400
SHREWSBURY,WORCESTER,54673,88377,38291
SHUTESBURY,FRANKLIN,47474,86339,1788
SOMERSET,BRISTOL,47396,96967,18271
SOMERVILLE,MIDDLESEX,36257,61811,79816
SOUTH HADLEY,HAMPSHIRE,47848,115890,18051
SOUTHAMPTON,HAMPSHIRE,47105,110200,6158
SOUTHBOROUGH,WORCESTER,82164,170223,10380
SOUTHBRIDGE,WORCESTER,29962,50414,17643
SOUTHWICK,HAMPDEN,46337,72500,9292
SPENCER,WORCESTER,39729,68559,11963
